index,wd_subclass,wdsubclass1,y_actual,y_pred_proba
FLUX506610058,DAZ,0,0,0.5533333333333333
FLUX506613017,DAZ,0,0,0.7133333333333334
FLUX506614217,DAZ,0,0,0.4
FLUX485102215,DAZ,0,0,0.09333333333333334
FLUX485108173,DAZ,0,0,0.25333333333333335
FLUX486302196,DAZ,0,0,0.30666666666666664
FLUX486802180,DAZ,0,0,0.32
FLUX486815038,DAZ,0,0,0.6866666666666666
FLUX490502187,DAZ,0,0,0.76
FLUX490502190,DAZ,0,0,0.34
FLUX491811040,DAZ,0,0,0.8866666666666667
FLUX497213017,DAZ,0,0,0.4533333333333333
FLUX497213057,DAZ,0,0,0.28
FLUX497214217,DAZ,0,0,0.35333333333333333
FLUX498409233,DAZ,0,0,0.21333333333333335
FLUX499313016,DAZ,0,0,0.05333333333333334
FLUX505502193,DAZ,0,0,0.20666666666666667
FLUX508801208,DAZ,0,0,0.37333333333333335
FLUX508802187,DAZ,0,0,0.5266666666666666
FLUX508804032,DAZ,0,0,0.4
