source_id,teff_gspphot,teff_gspphot_upper,teff_gspphot_lower
3158215827870080128,8988.371,9000.449,8963.389
3351386831026078720,7223.2114,7377.6494,7197.53
3127724897261010688,6068.036,6079.5933,6029.8643
958976522576778240,6824.0444,6838.584,6810.223
958958621153390336,6077.7812,6090.654,6066.041
964286918923684992,9006.548,9199.504,8998.4375
2080258411869318784,9147.467,9168.955,9123.414
2051009100467816832,5862.458,5884.1514,5843.26
2052878476392866432,5666.143,5691.03,5658.506
2051852460247410048,4758.0576,4787.96,4726.2705
2052721555469759744,7359.0986,7384.757,7332.2617
2051280233162153856,5769.6367,5805.1826,5753.9727
2101521420562169472,5602.666,5608.8853,5598.684
2073702814315139328,8993.001,8999.48,8980.667
1596886226680643328,6039.946,6045.97,6036.79
3839393689642210816,5971.015,5982.3774,5961.2256
3353920788712391296,9474.484,9496.396,9443.354
3354102036334501632,3598.4573,3603.3242,3592.159
3069614127180337408,5303.463,5307.5815,5301.382
3069614127180337408,5303.463,5307.5815,5301.382
3043003403170176256,4959.021,4982.459,4923.4937
3067448913911165056,6370.6494,6372.0034,6365.5073
3088408796693423104,5591.914,5595.36,5589.6953
856967063566624768,7936.406,7944.51,7928.5674
666748803183884032,4134.9644,4140.3706,4130.028
3095249275143491072,5117.168,5121.746,5112.9
3073511346144081408,9189.581,9219.207,9151.928
866673719719027200,5501.2495,5503.5635,5499.091
866664408229934464,5761.657,5770.292,5757.407
3740028148076776064,4714.568,4721.688,4707.285
792594025014531712,5770.378,5772.2437,5769.022
1563575495421445248,5525.436,5532.897,5516.51
853755596259550720,4633.9946,4653.8267,4624.3228
2128854798591003520,6473.0054,6485.291,6462.2153
2086552634904294272,6236.9966,6247.109,6230.2314
2086939972233921024,6268.4634,6318.214,6243.982
2078984284053851520,5444.878,5516.795,5414.7744
2078688171831562240,6040.377,6054.8057,6026.9453
2076141874700637568,4942.1,4945.751,4938.504
2079164844478822400,5913.8086,5925.8755,5900.9146
2078984662011004928,5533.945,5542.297,5522.8037
2078686969240726912,6569.0127,6578.5186,6558.963
2082255571665609856,6293.0547,6298.263,6286.2803
2082473996525637504,7506.496,7513.34,7499.4033
2073689276577590912,6924.49,6935.698,6911.976
2073689276577590912,6924.49,6935.698,6911.976
2075382249608572544,8107.299,8126.0713,8089.5063
3424596193555690240,4662.846,4963.049,4530.892
2078689065184659840,5247.3057,5253.9097,5240.63
1801136012079571840,6130.0654,6145.261,6125.2075
1849262151423830784,4366.825,4369.612,4363.7744
1849582727783041280,5970.737,5981.301,5960.8164
1967072760763286272,6568.8506,6625.9775,6536.353
1967058295313735808,6173.591,6183.203,6164.298
3452524029419534720,6323.398,6337.5356,6298.868
869376078782073600,4915.5454,4926.4053,4901.0273
1931141442314999168,6361.5176,6370.405,6352.3184
3069614127180337408,5303.463,5307.5815,5301.382
3069614127180337408,5303.463,5307.5815,5301.382
3070827953658741120,4493.1797,4494.7686,4491.8555
978030711192354048,6254.7065,6259.0415,6250.653
3344289895784662272,4970.5884,4974.011,4966.895
3345332164089664512,5804.2075,5821.465,5785.419
3345145208454877824,8071.3633,8093.4644,8024.306
3453191059316681344,5148.3213,5216.2637,5105.767
942722850203918720,5381.1196,5399.173,5357.9297
3145929992314961664,5982.8833,5990.7153,5976.4
3375522485645705472,9025.237,9084.142,8979.5625
3371304174925694848,8999.619,9009.233,8988.232
4531088728043508608,8156.6157,8171.4863,8139.577
2127623689164849280,6533.598,6549.029,6522.0513
2131000529891233920,6335.546,6357.0317,6323.353
2073702054092538112,8201.382,8278.662,8174.7754
2073626192096520960,7848.085,7883.325,7817.13
2073473772308047360,9767.926,9805.707,9729.121
2076373906014830208,6698.7466,6706.341,6683.7334
2073689276577590912,6924.49,6935.698,6911.976
2073689276577590912,6924.49,6935.698,6911.976
2078639484081442432,7906.1094,7920.9844,7890.0273
2078856809422854144,9066.913,9124.776,8941.965
2075575248259215616,8163.2183,8235.043,8077.8086
4493173924975781632,4674.2617,4709.743,4661.966
2103220990657662080,4313.2085,4318.5913,4305.8955
2099379881147883136,6500.1113,6507.3057,6493.296
2101224414982209152,5645.697,5689.7236,5632.942
2078752665057306752,4507.66,4517.8867,4500.178
2067811837156779648,7105.423,7503.962,6851.8267
1994986028097517312,8334.126,8370.951,8290.351
2009772741506418432,5119.028,5124.4546,5111.755
2013311618453181184,9021.963,9038.348,9000.518
817374023511240960,5620.5215,5637.196,5618.0503
597059385391141120,5332.4795,5336.8843,5328.198
4440955162834974208,6064.223,6072.5747,6056.8037
1362316179789651456,4828.21,4837.4507,4820.5107
4490294991216506624,5351.471,5368.591,5340.4126
4376963547442640128,6161.73,6233.454,6105.4004
2133328436523846656,5958.8535,5968.557,5949.178
2126047882845454464,5717.3154,5724.193,5713.3086
2126629348394963456,8681.854,8730.049,8612.744
2083822375738594304,5072.813,5080.2676,5064.6567
2084785857158407040,5272.523,5284.32,5259.0894
2106710737484424704,4667.9023,4675.786,4653.8647
2128127334210719616,3653.1367,3667.003,3651.4226
2130870989378340480,6697.518,6733.7847,6680.8867
2131057635775184512,5784.12,5825.0967,5692.7544
2129327348072084480,6073.515,6087.0405,6059.474
2076093148282520960,7340.139,7375.0903,7308.114
2076093049511776512,5778.5913,5844.2515,5761.5557
2080347158770362240,6113.9634,6125.312,6100.981
2080257724674853376,6165.6787,6170.724,6160.259
2073534863921029120,3487.8857,3491.7078,3486.7869
2073535482396288512,5885.547,5896.219,5878.033
2076372325466851456,4419.7764,4433.4067,4363.307
2101655423541177088,6780.7144,6816.537,6762.9854
2099749042175932672,7068.9785,7091.0474,7055.045
3122605158801920512,10042.604,10063.808,10019.662
1740846589776986880,6462.084,6471.804,6452.909
2701991624158898304,5668.4487,5682.738,5653.3237
1740834980479746560,5993.482,6011.332,5979.731
969707133292545152,5061.0186,5068.164,5051.839
972655134420652416,6226.395,6235.4424,6217.9136
3021722596131964416,7114.1147,7132.0244,7093.2046
3125607066066299264,9140.6,9176.861,9104.861
2009520433643380864,7973.2637,7992.051,7929.2637
2009072249517518336,8880.145,8960.564,8812.074
3376708991831842432,8445.414,8764.244,8090.444
3424679726376834304,6620.7305,6662.928,6568.584
3434509016731531904,6250.958,6258.2065,6243.7866
3066754228716902656,7331.034,7338.1367,7323.4233
3425033734762839168,15275.275,15427.527,15186.16
3370910339307241728,6199.814,6205.361,6196.4385
588187941462272768,5728.871,5736.594,5716.5747
1295251536772094464,6098.667,6099.692,6095.009
1296047548831206144,4880.865,4887.778,4874.7036
1245270005915995008,5142.923,5149.025,5137.1606
1399050584098625024,4985.3726,4992.121,4976.568
3369124942879839232,30773.53,31017.393,30273.518
3370776890381660416,4718.0527,4725.326,4681.555
3375172012015098624,6932.9346,6943.9507,6920.462
3375240697132089728,6127.4375,6132.462,6122.673
3371219409450521472,5702.241,5716.866,5688.481
652411583874952576,5566.85,5577.9487,5562.656
4381390529149219840,5317.883,5345.431,5301.3584
3354577201455615104,9331.985,9354.77,9309.001
4553672318910219392,5622.6167,5624.7407,5620.808
4474729613121029504,5185.9575,5208.097,5178.1
3838710549325041408,5142.121,5191.062,5121.676
2097809091346619136,5628.1045,5676.573,5611.362
4370872944521558272,6390.0195,6402.738,6378.4746
4372859143552945920,6616.3086,6627.047,6605.066
2103871695383814272,6308.3364,6324.3286,6290.326
4558235871983408896,6162.5825,6168.184,6154.8193
2086943580005613952,7342.4326,7368,7324.9756
2089339553280447360,5929.5625,5938.857,5923.1597
2025041964416345728,9722.201,9745.644,9673.822
2032833967148104192,8054.3306,8072.8657,8037.4004
