source_id,mh_gspphot,mh_gspphot_upper,mh_gspphot_lower
4376963547442640128,-0.6709,-0.6239,-0.7218
2133328436523846656,-0.2418,-0.2321,-0.2541
2126047882845454464,-0.3975,-0.3904,-0.4001
2126629348394963456,-0.1326,-0.0327,-0.2067
2083822375738594304,0.0668,0.0748,0.0623
2084785857158407040,-0.104,-0.102,-0.1064
2106710737484424704,-0.2293,-0.2263,-0.237
2128127334210719616,-0.0668,-0.0656,-0.0687
2130870989378340480,-0.1524,-0.107,-0.1655
2131057635775184512,-0.0116,-0.0089,-0.0158
2129327348072084480,-0.1252,-0.114,-0.1367
2076093148282520960,-0.2788,-0.2658,-0.2937
2076093049511776512,-0.1509,-0.0928,-0.1648
2080347158770362240,-0.3461,-0.335,-0.3569
2080257724674853376,-0.259,-0.2548,-0.2636
2073534863921029120,-0.04,-0.0399,-0.04
2073535482396288512,-0.01,-0.0077,-0.0135
2076372325466851456,-0.3325,-0.3293,-0.3378
2101655423541177088,-0.2764,-0.2577,-0.2931
2099749042175932672,-0.2017,-0.1913,-0.2124
3122605158801920512,-0.2431,-0.1644,-0.3265
1740846589776986880,-0.2439,-0.2377,-0.2515
2701991624158898304,-0.0807,-0.0693,-0.0929
1740834980479746560,-0.5207,-0.5035,-0.5354
969707133292545152,-0.1276,-0.1083,-0.144
972655134420652416,-0.6908,-0.6831,-0.6991
3021722596131964416,-0.7564,-0.723,-0.7732
3125607066066299264,-0.18,-0.0864,-0.2317
2009520433643380864,-0.6113,-0.3704,-0.7377
2009072249517518336,-0.0246,0.0443,-0.1268
3376708991831842432,-0.488,-0.4804,-0.4898
3424679726376834304,-0.5772,-0.5296,-0.5985
3434509016731531904,-0.4522,-0.4475,-0.4574
3066754228716902656,-0.4201,-0.3982,-0.4379
3425033734762839168,0.1051,0.1464,0.0835
3370910339307241728,-0.1744,-0.1686,-0.1802
588187941462272768,-0.1265,-0.1199,-0.1358
1295251536772094464,-0.3933,-0.3876,-0.4003
1296047548831206144,-0.1139,-0.1068,-0.1208
1245270005915995008,0.2209,0.228,0.2146
1399050584098625024,-0.1524,-0.1443,-0.1736
3369124942879839232,-0.9938,-0.9845,-0.9984
3370776890381660416,0.137,0.142,0.0884
3375172012015098624,-0.5309,-0.5206,-0.54
3375240697132089728,-0.2716,-0.2672,-0.2756
3371219409450521472,-0.1301,-0.1144,-0.1437
652411583874952576,-0.3537,-0.3361,-0.3644
4381390529149219840,-0.131,-0.1301,-0.1402
3354577201455615104,0.3192,0.3763,0.2674
4553672318910219392,-0.1458,-0.142,-0.1496
4474729613121029504,-0.1762,-0.1698,-0.1798
3838710549325041408,0.283,0.3232,0.2608
2097809091346619136,-0.0923,-0.0402,-0.1077
4370872944521558272,-0.913,-0.9047,-0.9211
4372859143552945920,-0.6257,-0.617,-0.6346
2103871695383814272,-0.2862,-0.2707,-0.301
4558235871983408896,-0.3711,-0.368,-0.3755
2086943580005613952,-0.1639,-0.1461,-0.1833
2089339553280447360,-0.0394,-0.0384,-0.0401
2025041964416345728,-0.3758,-0.1834,-0.4833
2032833967148104192,-0.3545,-0.3399,-0.3708
2032079530392602112,-0.1532,-0.1353,-0.1664
1834509041857516288,-0.4278,-0.3722,-0.4699
2026836887096115072,-0.3214,-0.3114,-0.3317
2036574402591699840,-0.159,-0.1586,-0.1592
2025288220656296960,0.3683,0.4231,0.3125
2028167188783339648,0.7971,0.7995,0.7866
2031787953645416704,0.2164,0.2464,0.1871
1758956718812702336,-0.4781,-0.4701,-0.4854
1760805100937879424,0.2318,0.2492,0.2071
2039463678624205440,-0.3817,-0.3629,-0.4026
2033566241884486912,-0.5249,-0.3434,-0.8939
1790422091602858624,0.0187,0.034,-0.0102
1867530812004542720,-0.8286,-0.7009,-0.8898
1964421357190827520,-0.3915,-0.3741,-0.409
1953839897802740096,-0.405,-0.3112,-0.4769
1858180049731891584,-0.3782,-0.3447,-0.4186
1858521138853841024,-0.4238,-0.3939,-0.45
1865639583287863424,-0.2593,-0.2452,-0.2724
3375332716809805952,-0.8923,-0.8698,-0.9096
3375332716809805952,-0.8923,-0.8698,-0.9096
3375332716809805952,-0.8923,-0.8698,-0.9096
3375332716809805952,-0.8923,-0.8698,-0.9096
3375332716809805952,-0.8923,-0.8698,-0.9096
3375332716809805952,-0.8923,-0.8698,-0.9096
3375332716809805952,-0.8923,-0.8698,-0.9096
3375332716809805952,-0.8923,-0.8698,-0.9096
3375332716809805952,-0.8923,-0.8698,-0.9096
3423625054207479424,-0.7112,-0.6662,-0.7831
3423625054207479424,-0.7112,-0.6662,-0.7831
3423625054207479424,-0.7112,-0.6662,-0.7831
3423625054207479424,-0.7112,-0.6662,-0.7831
3426597824414830080,-0.3,-0.2365,-0.3613
3426597824414830080,-0.3,-0.2365,-0.3613
3426597824414830080,-0.3,-0.2365,-0.3613
3426597824414830080,-0.3,-0.2365,-0.3613
3426597824414830080,-0.3,-0.2365,-0.3613
3426597824414830080,-0.3,-0.2365,-0.3613
3426597824414830080,-0.3,-0.2365,-0.3613
3426597824414830080,-0.3,-0.2365,-0.3613
3426597824414830080,-0.3,-0.2365,-0.3613
3426597824414830080,-0.3,-0.2365,-0.3613
3426597824414830080,-0.3,-0.2365,-0.3613
3426597824414830080,-0.3,-0.2365,-0.3613
3426597824414830080,-0.3,-0.2365,-0.3613
3426597824414830080,-0.3,-0.2365,-0.3613
3375332716809805952,-0.8923,-0.8698,-0.9096
3375332716809805952,-0.8923,-0.8698,-0.9096
3375332716809805952,-0.8923,-0.8698,-0.9096
3375332716809805952,-0.8923,-0.8698,-0.9096
3375332716809805952,-0.8923,-0.8698,-0.9096
3375332716809805952,-0.8923,-0.8698,-0.9096
3375332716809805952,-0.8923,-0.8698,-0.9096
3375332716809805952,-0.8923,-0.8698,-0.9096
3375332716809805952,-0.8923,-0.8698,-0.9096
3423624809393510912,-0.0694,-0.0684,-0.0699
3423624809393510912,-0.0694,-0.0684,-0.0699
3423624809393510912,-0.0694,-0.0684,-0.0699
3423624809393510912,-0.0694,-0.0684,-0.0699
3423624809393510912,-0.0694,-0.0684,-0.0699
3423624809393510912,-0.0694,-0.0684,-0.0699
3423624809393510912,-0.0694,-0.0684,-0.0699
3423624809393510912,-0.0694,-0.0684,-0.0699
3423624809393510912,-0.0694,-0.0684,-0.0699
3423624809393510912,-0.0694,-0.0684,-0.0699
3423624809393510912,-0.0694,-0.0684,-0.0699
3423624809393510912,-0.0694,-0.0684,-0.0699
3423624809393510912,-0.0694,-0.0684,-0.0699
3423624809393510912,-0.0694,-0.0684,-0.0699
3423625054207479424,-0.7112,-0.6662,-0.7831
3423625054207479424,-0.7112,-0.6662,-0.7831
3423625054207479424,-0.7112,-0.6662,-0.7831
3423625054207479424,-0.7112,-0.6662,-0.7831
3426118540422838272,0.1159,0.1779,0.089
3426118540422838272,0.1159,0.1779,0.089
3426118540422838272,0.1159,0.1779,0.089
3426118540422838272,0.1159,0.1779,0.089
3377123237136129024,-0.9435,-0.9405,-0.9472
3377123237136129024,-0.9435,-0.9405,-0.9472
3377123237136129024,-0.9435,-0.9405,-0.9472
3377123237136129024,-0.9435,-0.9405,-0.9472
3377123237136129024,-0.9435,-0.9405,-0.9472
3377123237136129024,-0.9435,-0.9405,-0.9472
3377123237136129024,-0.9435,-0.9405,-0.9472
3377123237136129024,-0.9435,-0.9405,-0.9472
3377123237136129024,-0.9435,-0.9405,-0.9472
3377123237136129024,-0.9435,-0.9405,-0.9472
3425916638302885632,-0.6863,-0.3961,-0.8148
3425916638302885632,-0.6863,-0.3961,-0.8148
3425916638302885632,-0.6863,-0.3961,-0.8148
3426597824414830080,-0.3,-0.2365,-0.3613
3426597824414830080,-0.3,-0.2365,-0.3613
3426597824414830080,-0.3,-0.2365,-0.3613
3426597824414830080,-0.3,-0.2365,-0.3613
3426597824414830080,-0.3,-0.2365,-0.3613
3426597824414830080,-0.3,-0.2365,-0.3613
3426597824414830080,-0.3,-0.2365,-0.3613
3426597824414830080,-0.3,-0.2365,-0.3613
3426597824414830080,-0.3,-0.2365,-0.3613
3426597824414830080,-0.3,-0.2365,-0.3613
3426597824414830080,-0.3,-0.2365,-0.3613
3426597824414830080,-0.3,-0.2365,-0.3613
3426597824414830080,-0.3,-0.2365,-0.3613
3426597824414830080,-0.3,-0.2365,-0.3613
3879286484054430080,-0.6215,-0.6121,-0.6307
3375332716809805952,-0.8923,-0.8698,-0.9096
3375332716809805952,-0.8923,-0.8698,-0.9096
3375332716809805952,-0.8923,-0.8698,-0.9096
3375332716809805952,-0.8923,-0.8698,-0.9096
3375332716809805952,-0.8923,-0.8698,-0.9096
3375332716809805952,-0.8923,-0.8698,-0.9096
3375332716809805952,-0.8923,-0.8698,-0.9096
3375332716809805952,-0.8923,-0.8698,-0.9096
3375332716809805952,-0.8923,-0.8698,-0.9096
3375318869835308928,-0.0129,-0.0037,-0.0188
3375318869835308928,-0.0129,-0.0037,-0.0188
3375318869835308928,-0.0129,-0.0037,-0.0188
3375318869835308928,-0.0129,-0.0037,-0.0188
3375318869835308928,-0.0129,-0.0037,-0.0188
3375318869835308928,-0.0129,-0.0037,-0.0188
3423624809393510912,-0.0694,-0.0684,-0.0699
3423624809393510912,-0.0694,-0.0684,-0.0699
3423624809393510912,-0.0694,-0.0684,-0.0699
3423624809393510912,-0.0694,-0.0684,-0.0699
3423624809393510912,-0.0694,-0.0684,-0.0699
3423624809393510912,-0.0694,-0.0684,-0.0699
3423624809393510912,-0.0694,-0.0684,-0.0699
3423624809393510912,-0.0694,-0.0684,-0.0699
3423624809393510912,-0.0694,-0.0684,-0.0699
3423624809393510912,-0.0694,-0.0684,-0.0699
3423624809393510912,-0.0694,-0.0684,-0.0699
3423624809393510912,-0.0694,-0.0684,-0.0699
3423624809393510912,-0.0694,-0.0684,-0.0699
3423624809393510912,-0.0694,-0.0684,-0.0699
3426118540422838272,0.1159,0.1779,0.089
3426118540422838272,0.1159,0.1779,0.089
3426118540422838272,0.1159,0.1779,0.089
3426118540422838272,0.1159,0.1779,0.089
3377123237136129024,-0.9435,-0.9405,-0.9472
3377123237136129024,-0.9435,-0.9405,-0.9472
3377123237136129024,-0.9435,-0.9405,-0.9472
3377123237136129024,-0.9435,-0.9405,-0.9472
3377123237136129024,-0.9435,-0.9405,-0.9472
3377123237136129024,-0.9435,-0.9405,-0.9472
3377123237136129024,-0.9435,-0.9405,-0.9472
3377123237136129024,-0.9435,-0.9405,-0.9472
3377123237136129024,-0.9435,-0.9405,-0.9472
3377123237136129024,-0.9435,-0.9405,-0.9472
3426597824414830080,-0.3,-0.2365,-0.3613
3426597824414830080,-0.3,-0.2365,-0.3613
3426597824414830080,-0.3,-0.2365,-0.3613
3426597824414830080,-0.3,-0.2365,-0.3613
3426597824414830080,-0.3,-0.2365,-0.3613
3426597824414830080,-0.3,-0.2365,-0.3613
3426597824414830080,-0.3,-0.2365,-0.3613
3426597824414830080,-0.3,-0.2365,-0.3613
3426597824414830080,-0.3,-0.2365,-0.3613
3426597824414830080,-0.3,-0.2365,-0.3613
3426597824414830080,-0.3,-0.2365,-0.3613
3426597824414830080,-0.3,-0.2365,-0.3613
3426597824414830080,-0.3,-0.2365,-0.3613
